I0,I1,I2
21450,-7458,-13992
20340,-3300,-17040
18422,845,-19267
15860,5069,-20929
12045,9450,-21495
7891,13455,-21346
3452,16607,-20059
-812,19041,-18229
-5445,20658,-15213
-9875,21375,-11500
-14082,21330,-7248
-17226,20035,-2809
-19721,17939,1782
-21070,15048,6022
-21540,11257,10283
-21313,7227,14086
-20278,3102,17176
-18579,-878,19457
-15786,-5209,20995
-12069,-9475,21544
-7981,-13447,21428
-3667,-16644,20311
540,-19090,18550
4983,-20736,15753
9442,-21536,12094
13431,-21433,8002
16813,-20270,3457
19280,-18541,-739
20938,-15728,-5210
21668,-12139,-9529
21507,-8204,-13303
20534,-4030,-16504
18612,280,-18892
15815,4686,-20501
12193,9124,-21317
7767,13340,-21107
3382,16537,-19919
-1419,18863,-17444
-6199,20398,-14199
-11017,20967,-9950
-14920,20328,-5408
-18141,18966,-825
-20200,16545,3655
-21384,13270,8114
-21516,9611,11905
-20719,5300,15419
-19597,1344,18253
-17601,-2578,20179
-14416,-6839,21255
-10683,-10931,21614
-6307,-14755,21062
-1971,-17626,19597
2268,-19581,17313
6686,-21062,14376
11207,-21450,10243
14953,-21004,6051
18009,-19461,1452
19998,-17254,-2744
21276,-14091,-7185
21499,-10283,-11216
21206,-6414,-14792
19734,-2087,-17647
17584,2033,-19617
14561,6538,-21099
10617,10774,-21391
6439,14581,-21020
1963,17411,-19374
-2112,19569,-17457
-6822,21000,-14178
-11199,21441,-10242
-15035,20959,-5924
-17960,19470,-1510
-20059,17085,2974
-21289,14037,7252
-21623,10089,11534
-21062,6010,15052
-19754,1860,17894
-17477,-2429,19906
-14478,-6740,21218
-10683,-10861,21544
-6707,-14528,21235
-2714,-17395,20109
1018,-19519,18501
5556,-21049,15493
9772,-21668,11896
13806,-21507,7701
17007,-20373,3366
19441,-18364,-1077
20909,-15398,-5511
21594,-11669,-9925
21437,-7709,-13728
20435,-3634,-16801
18653,540,-19193
15778,4855,-20633
12251,9099,-21350
7944,13340,-21284
3671,16500,-20171
-965,18814,-17849
-6022,20097,-14075
-10840,20678,-9838
-15031,20315,-5284
-18108,18843,-735
-20237,16512,3725
-21388,13237,8151
-21520,9392,12128
-20686,5098,15588
-19461,1204,18257
-17283,-2866,20149
-14301,-7053,21354
-10498,-11166,21664
-6166,-14730,20896
-2140,-17556,19696
2297,-19544,17247
6991,-20860,13869
11673,-21124,9451
15353,-20546,5193
18393,-19098,705
20241,-16825,-3416
21499,-13703,-7796
21569,-9924,-11645
20860,-5746,-15114
19523,-1612,-17911
17188,2631,-19819
14012,6987,-20999
10139,11145,-21284
5659,14920,-20579
1311,17741,-19052
-3345,19783,-16438
-8039,20835,-12796
-12519,21169,-8650
-16062,20307,-4245
-18731,18587,144
-20538,16099,4439
-21388,12762,8626
-21507,9112,12395
-20658,4842,15816
-19197,697,18500
-17139,-3196,20335
-13835,-7614,21449
-9928,-11632,21560
-5531,-15204,20735
-1254,-17960,19214
3060,-19969,16909
7462,-21247,13785
11583,-21693,10110
15192,-20942,5750
18001,-19663,1662
20064,-17465,-2599
