I0,I1,I2
-5209,3411,1798
-4760,1526,3234
-3877,-3510,7387
-2260,-3873,6133
-561,-4442,5003
3023,-4789,1766
3997,-4516,519
4937,-4021,-916
5098,-2871,-2227
4380,-606,-3774
3139,3440,-6579
1567,3922,-5489
-1472,4578,-3106
-3601,4739,-1138
-4574,4248,326
-5238,3415,1823
-4838,1678,3160
-3951,-2503,6454
-2512,-3852,6364
-618,-4310,4928
3312,-4710,1398
3988,-4632,644
4929,-4149,-780
5094,-2928,-2166
4368,-804,-3564
3287,3745,-7032
1654,3935,-5589
-965,4504,-3539
-3630,4628,-998
-4521,4240,281
-5152,3456,1696
-4834,1790,3044
-3914,-2458,6372
-2479,-3733,6212
-639,-4257,4896
3234,-4669,1435
3894,-4554,660
4764,-4075,-689
4888,-2825,-2063
4211,-614,-3597
3126,3687,-6813
1497,4009,-5506
-2363,4459,-2096
-3588,4554,-966
-4582,4211,371
-5094,3262,1832
-4607,1546,3061
-3877,-2990,6867
-2252,-3770,6022
-482,-4265,4747
2846,-4562,1716
3790,-4356,566
4702,-3737,-965
4710,-2338,-2372
3955,-152,-3803
2862,3312,-6174
911,4054,-4965
-3856,4356,-500
-3634,4500,-866
-4735,3910,825
-5119,2982,2137
-4549,1080,3469
-3564,-3922,7486
-2037,-3844,5881
-495,-4455,4950
3048,-4780,1732
4009,-4500,491
4879,-3724,-1155
4945,-2417,-2528
4158,-210,-3948
3019,3328,-6347
1377,4075,-5452
-3382,4521,-1139
-3621,4768,-1147
-4714,4219,495
-5296,3378,1918
-4768,1377,3391
-3844,-3782,7626
-2512,-3716,6228
-495,-4384,4879
3386,-4661,1275
3889,-4541,652
4756,-3964,-792
4921,-2569,-2352
4323,-610,-3713
3031,3522,-6553
1419,3939,-5358
-3188,4434,-1246
-3605,4653,-1048
-4525,4141,384
-5032,3168,1864
-4599,1608,2991
-3691,-3778,7469
-2157,-3592,5749
-490,-4195,4685
2924,-4413,1489
3881,-4162,281
4624,-3601,-1023
4537,-1909,-2628
3865,-12,-3853
2462,3605,-6067
841,4075,-4916
-2961,4533,-1572
-3815,4574,-759
-4756,4104,652
-5160,3172,1988
-4521,1287,3234
-3522,-3943,7465
-2021,-3782,5803
-391,-4422,4813
3155,-4686,1531
4100,-4417,317
4945,-3766,-1179
4912,-2351,-2561
4030,325,-4355
2904,3704,-6608
1365,4318,-5683
-3159,4640,-1481
-3531,4842,-1311
-4805,4343,462
-5255,3419,1836
-4793,1534,3259
-3898,-3217,7115
-2314,-3803,6117
-614,-4380,4994
3110,-4735,1625
3993,-4409,416
4892,-3931,-961
4966,-2508,-2458
4215,-321,-3894
2982,3357,-6339
1278,3960,-5238
-3147,4401,-1254
-3535,4669,-1134
-4607,4087,520
-5028,3287,1741
-4562,1369,3193
-3774,-3646,7420
-2054,-3819,5873
-404,-4339,4743
2974,-4665,1691
4100,-4364,264
4958,-3753,-1205
4933,-2421,-2512
4087,-231,-3856
2833,3448,-6281
1287,4087,-5374
-3291,4450,-1159
-3675,4644,-969
-4702,4162,540
-5143,3234,1909
-4677,1373,3304
-3762,-3811,7573
-2107,-3828,5935
-363,-4393,4756
3036,-4760,1724
4096,-4500,404
4888,-3902,-986
4842,-2520,-2322
4186,-383,-3803
2945,3341,-6286
1324,4005,-5329
-3415,4426,-1011
-3543,4562,-1019
-4648,4211,437
-5007,3155,1852
-4450,1320,3130
-3592,-3939,7531
-1885,-3840,5725
-206,-4356,4562
3093,-4582,1489
4009,-4285,276
4830,-3609,-1221
4681,-2153,-2528
3964,-94,-3870
2755,3407,-6162
1027,3955,-4982
-3832,4252,-420
-3609,4277,-668
-4558,3869,689
-4838,2809,2029
-4137,717,3420
-3023,-3543,6566
-1596,-3819,5415
552,-4372,3820
3518,-4582,1064
4096,-4116,20
4900,-3374,-1526
4776,-1901,-2875
3935,771,-4706
2660,3592,-6252
849,4170,-5019
-3122,4541,-1419
-3844,4607,-763
-5003,4100,903
-5275,3019,2256
-4562,924,3638
-3625,-3811,7436
-2050,-3988,6038
-470,-4657,5127
2875,-4801,1926
4042,-4397,355
4813,-3799,-1014
4801,-2409,-2392
4133,-309,-3824
2710,3361,-6071
973,3939,-4912
-3774,4430,-656
-3700,4591,-891
-4735,4059,676
-4921,2978,1943
-4314,1047,3267
-3440,-3753,7193
-1914,-3749,5663
-284,-4298,4582
3027,-4500,1473
3955,-4137,182
4756,-3522,-1234
4541,-1918,-2623
3852,387,-4239
2367,3609,-5976
705,4120,-4825
-2842,4500,-1658
-3819,4463,-644
-4772,3960,812
-5053,2784,2269
-4273,754,3519
-3139,-3403,6542
-1736,-3968,5704
115,-4570,4455
3328,-4702,1374
4149,-4351,202
4929,-3539,-1390
4859,-1926,-2933
3976,449,-4425
2784,3733,-6517
985,4290,-5275
-3407,4611,-1204
-3832,4723,-891
-4933,4290,643
-5370,3300,2070
-4743,1291,3452
-3803,-3955,7758
-2132,-3836,5968
-528,-4492,5020
3102,-4706,1604
3947,-4314,367
4912,-3654,-1258
4925,-2334,-2591
4100,-152,-3948
2755,3411,-6166
1126,4046,-5172
-3803,4508,-705
-3654,4628,-974
-4710,4096,614
-5148,3163,1985
-4529,1208,3321
-3716,-3861,7577
-1980,-3861,5841
-387,-4302,4689
2986,-4677,1691
4104,-4397,293
4958,-3749,-1209
4950,-2310,-2640
4158,-144,-4014
2755,3559,-6314
1146,4162,-5308
-3894,4574,-680
-3687,4813,-1126
-4834,4269,565
-5238,3300,1938
-4834,1509,3325
-3819,-3782,7601
-2206,-3836,6042
-486,-4422,4908
2928,-4789,1861
4075,-4496,421
4888,-3939,-949
4966,-2499,-2467
4252,-305,-3947
2949,3448,-6397
1320,4170,-5490
-3485,4562,-1077
-3617,4731,-1114
-4723,4302,421
-5214,3366,1848
-4747,1559,3188
-3894,-3159,7053
-2301,-3729,6030
-552,-4265,4817
2957,-4653,1696
3910,-4343,433
4789,-3828,-961
4818,-2462,-2356
3980,-280,-3700
2780,3419,-6199
1138,4017,-5155
-3679,4368,-689
-3654,4471,-817
